team,date,opponent,gf,ga
RD Congo,2026-06-27,Uzbekistán,3,1
Uzbekistán,2026-06-27,RD Congo,1,3
Portugal,2026-06-27,Colombia,0,0
Colombia,2026-06-27,Portugal,0,0
Argentina,2026-06-27,Jordania,3,1
Jordania,2026-06-27,Argentina,1,3
Austria,2026-06-27,Argelia,3,3
Argelia,2026-06-27,Austria,3,3
Canadá,2026-06-28,Sudáfrica,1,0
Sudáfrica,2026-06-28,Canadá,0,1
Brasil,2026-06-29,Japón,2,1
Japón,2026-06-29,Brasil,1,2
Alemania,2026-06-29,Paraguay,1,1
Paraguay,2026-06-29,Alemania,1,1
Países Bajos,2026-06-29,Marruecos,1,1
Marruecos,2026-06-29,Países Bajos,1,1
